Fund,N,EVaR_99,EVaR_99_1y,Source
FTGPX,481,-0.0479065366404959,-0.309359395660377,Fidelity_mutual_funds20240430
FTHRX,11425,-0.0191327457518797,-0.0599227061990037,Fidelity_mutual_funds20240430
FTIEX,4399,-0.0834935511693324,-0.606880710799863,Fidelity_mutual_funds20240430
FTIHX,2230,-0.0829217355635872,-0.457888748502453,Fidelity_mutual_funds20240430
FTQGX,7160,-0.085022800599759,-0.570422880187462,Fidelity_mutual_funds20240430
FTRNX,11425,-0.11096899781671,-0.519953019490754,Fidelity_mutual_funds20240430
FUAMX,1896,-0.0158392796841036,-0.169957591753041,Fidelity_mutual_funds20240430
FULVX,1377,-0.0909154449137287,-0.499896031288381,Fidelity_mutual_funds20240430
FUMBX,1902,-0.00613154788657457,-0.058389629403197,Fidelity_mutual_funds20240430
FVDFX,5631,-0.0871572075078253,-0.535831715310286,Fidelity_mutual_funds20240430
FWOMX,1503,-0.103157047460975,-0.601113334504863,Fidelity_mutual_funds20240430
FWRLX,6187,-0.0824840953871826,-0.675968840397354,Fidelity_mutual_funds20240430
FWWFX,8794,-0.0778678786366378,-0.455144379869291,Fidelity_mutual_funds20240430
FXAIX,3518,-0.0850610521745998,-0.437564113668925,Fidelity_mutual_funds20240430
FXIFX,3916,-0.0513261859309705,-0.28880959903384,Fidelity_mutual_funds20240430
FXNAX,3518,-0.0135524960406344,-0.119452826910035,Fidelity_mutual_funds20240430
FYMRX,806,-0.036545949059588,-0.37715208572257,Fidelity_mutual_funds20240430
FZILX,1693,-0.0850112461064899,-0.514508265848392,Fidelity_mutual_funds20240430
FZIPX,1654,-0.110116707868013,-0.729226665709903,Fidelity_mutual_funds20240430
FZROX,1693,-0.0957910142579634,-0.554266673656161,Fidelity_mutual_funds20240430
SMDMX,8061,-0.0196175372787354,-0.0781751633572533,Fidelity_mutual_funds20240430
SPHIX,8730,-0.0316931448180215,-0.111561424026935,Fidelity_mutual_funds20240430
