Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FRYBX,807,0.032045029904689,0.0275166159929638,0,-0.226384054197909,-0.160449661709026,0.000147569254640778,-0.130583701040274,-0.0822277687044949,0.0382773074455343,0.987406287822452,-0.527410302915289,10.0344150429101
FSAGX,9919,0.0552102374503889,0.00696474118810841,0,-0.633873322730879,-0.492160388525312,9.72583610938262e-05,-0.074685956690295,-0.0199907500753544,0.121456869537854,0.990773400360308,0.0605904968717056,8.02
FSAHX,2877,0.0339345279508274,0.0335622669136266,0,-0.164172657416743,-0.0981500851286343,0.000143518714562898,-0.228944663741052,-0.118702724436415,0.17284728255498,0.98150034130621,0.389126096516143,8.02
FSANX,4415,0.0559907681606106,0.0494899348864728,0,-0.404241221491178,-0.266017676473917,0.000238272590870257,-0.174208543631583,-0.120051721233298,0.14929434515839,0.983003367465584,-1.29966251238639,8.47427084777559
FSAVX,9784,0.0871135118159442,0.0625050128594462,0,-0.663634535948501,-0.492342403514853,0.00043285998765556,-0.0967231200793907,-0.059470919438102,0.152393372254678,0.989263131733266,-0.638746234954844,8.45821192447524
FSAZX,7689,0.0412474578997352,0.0414108656357506,0,-0.0914093782546053,-0.0519064367001914,0.000231634929116518,-0.321464114074046,-0.0381104603698913,0.201717986842207,0.974690819751815,0.533193341418405,8.02000000000002
FSCHX,10016,0.11157986890058,0.0925060348660998,0,-0.505102426206672,-0.344373426292578,0.000520523224842843,-0.146571056585274,-0.0731088711480096,0.170023378087264,0.983984677565071,-0.585383328589881,8.02
FSCOX,4966,0.0653025509333176,0.0469737993956272,0,-0.61915347180002,-0.43079198698282,0.000386550194520727,-0.151657780931311,-0.0724499811892917,0.16170569904947,0.983726548465295,-0.850291567963652,8.02
FSCPX,8772,0.0951952922536875,0.0787443596065163,0,-0.449218407372293,-0.307228899805464,0.00035680270186974,-0.17213535277673,-0.0958449245344401,0.166372300406316,0.98133141431191,-1.34028780788297,9.6459362729485
FSCRX,6184,0.0902112282001946,0.068211383469829,0,-0.607674389387767,-0.42766063837161,0.000240801197407552,-0.132550550887885,-0.0908806237555122,0.137597328235699,0.985201974109941,-2.03310646585872,15.2222862827462
FSCSX,10016,0.146170003426048,0.119436465242099,0,-0.523138692416554,-0.370447704505923,0.000665839111861572,-0.172789686281497,-0.0794071450808289,0.178431113907781,0.979985534666722,-0.880495120429677,8.33556232818934
FSDAX,10325,0.110042499580172,0.0960465895630644,0,-0.509389589377758,-0.347391476199866,0.000517646790756153,-0.150061582748149,-0.066923572385846,0.145205511784858,0.98380951699833,-0.566932075168231,8.07692531670931
FSDIX,5370,0.0739346683801023,0.0636281146117872,0,-0.484797436645671,-0.310592837095211,0.000260161501429521,-0.146819864975546,-0.1309843545027,0.155498850105691,0.98523042199929,-1.19199883628642,8.15433789103459
FSDPX,9721,0.0857170421191842,0.0621864044788878,0,-0.567365644695589,-0.396771401705795,0.000362705342408239,-0.14738413143398,-0.0644213951080225,0.152021991259496,0.983609702927061,-0.522747216808756,8.02000000001028
FSEAX,8064,0.0752890624409281,0.0533187569064162,0,-0.58256246401861,-0.428776962727255,0.000483702403459662,-0.159462820472151,-0.0571498131510574,0.171013434484871,0.982171491077094,-0.58013619067136,8.02
FSEBX,973,0.0522822794348579,0.0346974870280621,0,-0.381807463274004,-0.284583967058446,0.000253271557765246,-0.19210265218965,-0.137844885199556,0.100641903620844,0.978983437863815,-1.54212686587618,10.9607218994245
FSELX,10016,0.131850395012009,0.0834588953721671,0,-0.74509674011009,-0.586158625720192,0.000653000359311971,-0.0838437260614761,-0.0535008724552895,0.142688456245626,0.989775277969508,-0.455715359879086,8.29865147233758
FSENX,11039,0.072179390717566,0.0386229659759882,0,-0.437325920087879,-0.322695673764066,3.29445283333138e-16,-0.00951045993395105,-0.0211976323090904,0.061867250848027,0.999000000000042,-0.0988039352968722,8.02
FSGGX,3429,0.0586405072865001,0.0464591000683221,0,-0.401973495054268,-0.282228763847685,0.00015173767076813,-0.210838840563743,-0.107482748867403,0.138837236685634,0.977894242384733,-1.06120855769164,8.36113365682428
FSHBX,9731,0.0380429531270586,0.0385142997823527,0,-0.0355682541613604,-0.0186340658890625,9.88452143214083e-05,-0.0877980330382288,-0.0311542541393617,0.0734116300552202,0.993278064641622,1.39950570834207,8.02000000000006
FSHCX,9784,0.0895855453921891,0.0694635499545624,0,-0.438660945542399,-0.313058110283555,0.000469539786835221,-0.228976739679144,-0.0659570121045418,0.14830457105639,0.9747276763028,-0.930994459286676,8.02
FSHOX,9721,0.116122836580648,0.094647159794806,0,-0.565684773814869,-0.39000915585357,0.000595610620363109,-0.112307813995752,-0.0615595601180767,0.155458379402232,0.987655293442028,-0.475513979836932,8.02
FSIKX,757,0.0277750678387039,0.0274327747321461,0,-0.0633226833634839,-0.0423160821841434,0.000172070408890872,-4.75088699782319,-0.0351031011933609,0.531484898398406,0.617073275886905,-0.185220609161341,8.02
FSKAX,3430,0.127821000896355,0.118529474645372,0,-0.326329628289509,-0.207033626532807,0.000333667808891458,-0.335836420877689,-0.186962484784742,0.177396894624434,0.964398571969422,-1.40105384821093,8.3495521289638
FSLBX,10016,0.109504152164375,0.0803254448808615,0,-0.576412998819461,-0.415297551526669,0.000577055894155444,-0.172495791786039,-0.0721245663078283,0.18006741955743,0.980460580667751,-0.480258415434922,8.02
FSLCX,6826,0.0772148716771124,0.0543090690017887,0,-0.611011056282314,-0.444968867931008,0.000308483513411664,-0.163536300429092,-0.0914824775092447,0.153261476767746,0.981893936501807,-2.2168707561797,13.583781317143
FSLEX,9025,0.0553834200412092,0.0372387514083974,0,-0.509874895590553,-0.375398393856256,0.000284065909763681,-0.175084458842551,-0.0750305077497546,0.146627042636949,0.980934145304168,-0.733331018798211,8.58319993543852
FSLSX,10414,0.101950982836136,0.0849421618804767,0,-0.648303974721214,-0.457054318974505,0.000383445981787837,-0.0903441980425373,-0.0586118652145198,0.147834787505066,0.990319399851607,-0.869194755298951,8.02
FSLVX,5900,0.0708659159333512,0.0524993837085785,0,-0.517507522383455,-0.351496734772421,0.000224464546307449,-0.162952075667998,-0.138630581624757,0.138713032457145,0.982568132773702,-1.58325537898718,9.78336266027781
FSMAX,3430,0.103705751136198,0.0845331987872895,0,-0.518551566123296,-0.364349362797526,0.000232880552236358,-0.192391511540836,-0.117463238645025,0.160317385960365,0.978696362963687,-2.00034479104127,11.0014078389409
FSMDX,3429,0.111757174192309,0.0990456453561048,0,-0.442788426792977,-0.295201664729443,0.000239450750210711,-0.244619093750851,-0.147895197478503,0.174386703647974,0.973797827989056,-2.13919959179056,10.8605352415117
FSMEX,6794,0.121709539780733,0.108393288330823,0,-0.424405208272913,-0.293998234424823,0.000362310266031948,-0.197551825451544,-0.107102005933838,0.126912653167003,0.978261518683215,-1.54556620522161,10.517213648949
FSMVX,5900,0.0849805328737344,0.0632925106851783,0,-0.609190069056836,-0.433879019425201,0.000241500353226179,-0.147669750258313,-0.114884265990018,0.150796948580091,0.983781439152797,-2.26167908159124,12.7032456776175
FSPCX,9919,0.11118844435982,0.0940262825444527,0,-0.44919352298229,-0.298815333167992,0.000520530415887217,-0.174556618158911,-0.074955783468906,0.19633800898545,0.981377408910675,-0.616140538030664,8.02
FSPGX,2230,0.157730681295589,0.143448532821239,0,-0.397025374112124,-0.264393932440652,0.000526671232324509,-0.252435025770611,-0.156322068210063,0.207072784992323,0.971954864397927,-1.62022696381885,8.24449926900963
FSPHX,11039,0.134893156134833,0.123805558476013,0,-0.313544844217027,-0.213921342503889,0.000118040155760807,-0.0885547538510299,-0.0540543134749177,0.0723968631819512,0.990398490250135,-0.122874939681761,8.02
