Fund,N,AnnReturn,CAGR,Flag,ETL_1,ETL_5,mu,omega,alpha1,gamma1,beta1,skew,shape
FFSFX,1467,0.0908703842907892,0.0778140442122988,0,-0.429822547075115,-0.307006366242277,0.000264801792503094,-0.267617017543605,-0.137380164745839,0.156360322405381,0.971456691368884,-0.339981401621939,3.78209653093144
FFTHX,5613,0.0646670892880928,0.054538149390527,0,-0.393227226090745,-0.271308474515233,1.00569991061187e-05,-0.342793347228599,-0.113924176513903,0.174501444581907,0.964499396789933,-0.268253290193949,1.25474730674366
FFTWX,5613,0.0567819221519592,0.0504384490576539,0,-0.305511601974344,-0.20561458768604,5.66527045561217e-05,-0.309795612679282,-0.0983024594002159,0.159044349703915,0.96934234166231,-0.256200983811335,1.25168980714743
FFVFX,5613,0.0505003632853629,0.0471844627707834,0,-0.23168006595808,-0.153677423561921,6.57012768245227e-05,-0.295612273184229,-0.0804802313036466,0.149116656877797,0.972148132352498,-0.245835562728578,1.20544687204657
FFWTX,2474,0.0442264413201383,0.0430936894388576,0,-0.168281057339502,-0.109317920234191,0.000186822548184908,-0.224008939062574,-0.104812968783463,0.151877057790701,0.980429524592012,-0.252292878581185,2.19098518694567
FFXSX,9691,0.0404806215968724,0.0409501630082678,1,1.6413431743271,2.17706921701855,0.0048444691494425,-1.83896289586701,-0.345028319048401,1.81913092706097,0.809787474641439,-0.0320143743989627,2.96543687854817
FGBFX,3252,0.0158207953932151,0.0147214213090863,0,-0.21569793811166,-0.151925420738773,9.49188919512573e-05,-0.10195447523514,-0.0178091289643471,0.12210472396619,0.991348923627436,-0.111142310349159,3.16446541610289
FGILX,3266,0.0962037197089668,0.0903254749044356,0,-0.276535280550058,-0.178840119165471,0.000262881086197115,-0.373886215864567,-0.160945471708956,0.181540535244594,0.962265351016476,-0.27921053603224,2.34927907195461
FGMNX,9944,0.0506663634118746,0.05102145404225,0,-0.241592385479063,-0.149873894918148,0.000121082113750962,-0.0439880062047482,-0.0520232783604433,0.116265155684955,0.996250027623799,0.10121168268379,0.883845573666067
FGOVX,11425,0.0573875145391054,0.0576518448615002,0,-0.168443566595986,-0.118949336399918,6.24331919140051e-16,-0.00852306604920323,-0.0294640332842971,0.0320290179583214,0.999000000000004,0.00637276591223996,0.25
FGRIX,9910,0.0983697099439149,0.0857031203787475,0,-0.435095464634391,-0.28248158333825,0.000439230130449322,-0.172010272980163,-0.0943302817157417,0.163124594243241,0.982009532581826,-0.199534751862734,1.86349680547224
FGRTX,6625,0.0756954641513588,0.0591182633859246,0,-0.425191146710529,-0.29139709296043,0.000231522649495654,-0.19633870100196,-0.144027168686481,0.1392311130848,0.978943440811551,-0.231021470820806,2.70527755226181
FHANX,1673,0.0797953371861644,0.0664893435622287,0,-0.412871611785133,-0.294071306213873,0.000246251029342289,-0.268816588158448,-0.141382546287288,0.155034810542425,0.971478210873499,-0.339231781038043,3.59109839860566
FHAOX,1673,0.0798743632357238,0.066603014256083,0,-0.404597016093061,-0.288935138395961,0.000249124657922488,-0.285945600380669,-0.143406273395707,0.158536473799112,0.969667115814909,-0.328526105403325,3.58862034530446
FHAPX,1673,0.0796953646709465,0.0663588118391894,0,-0.399942216109352,-0.283564187931625,0.000265259519210088,-0.285772383053063,-0.143756867351943,0.163321702344435,0.969728073081873,-0.325033487606157,3.59483371880384
FHAQX,1673,0.0798189907727929,0.0664568958111904,0,-0.397617284247348,-0.278942857269276,0.000280610305218556,-0.270832301856131,-0.143283989191522,0.155460205271831,0.971354120554743,-0.325693678271949,3.36872194291168
FHARX,1673,0.0785218538410116,0.0655744638330036,0,-0.396834576671336,-0.279338871328845,0.000270007456656034,-0.280998648285418,-0.143364410974285,0.160149691183474,0.970380950729638,-0.312407977798851,3.41075871817524
FHASX,1673,0.0704772462661305,0.0603129938941935,0,-0.387456085046277,-0.273323530973357,0.000227225986799464,-0.256598134269994,-0.129311462451431,0.147061900051036,0.973539308226855,-0.304229243210646,3.57616894865329
FHATX,1673,0.0605148777810019,0.0536823245438052,0,-0.35641832656377,-0.251692637847493,0.000199245494991923,-0.241149214450258,-0.121694064253325,0.139766571109131,0.975922808335557,-0.283942958742455,3.27334334152926
FHAUX,1673,0.0546914468243695,0.0494331811675492,0,-0.328552809278754,-0.230569235597105,0.0002049276779717,-0.226030960217751,-0.116617673950625,0.145886619584081,0.977941970816539,-0.259536295989083,3.27070625276102
FHAVX,1673,0.0499263949363509,0.045829181456259,0,-0.310663055153106,-0.215975249333493,0.000188545631069729,-0.204080019346727,-0.107873218893467,0.131203686325464,0.980479151646302,-0.25358750854451,2.86000973252886
FHAWX,1673,0.0447542009742521,0.0419607686846817,0,-0.277835920316351,-0.190087854243874,0.000180392442253072,-0.188417124875724,-0.101606381402719,0.127123618491779,0.982548935474744,-0.268920237395467,2.89576672717799
FHAYX,1673,0.0392982276221835,0.0375601637137799,0,-0.242681703863025,-0.16261191796372,0.000172369842592018,-0.161097181393363,-0.0931348395422922,0.115102607471262,0.985609346657758,-0.260321661500134,2.48406752575214
