Date,SP500TR
2014-10-09,3514.1201171875
2014-10-08,3588.0700683594
2014-10-07,3525.2900390625
2014-10-06,3579.419921875
2014-10-03,3584.9399414062
2014-10-02,3545.3000488281
2014-10-01,3544.9799804688
2014-09-30,3592.25
2014-09-29,3602.0900878906
2014-09-26,3610.9799804688
2014-09-25,3579.6101074219
2014-09-24,3638.4399414062
2014-09-23,3610.1000976562
2014-09-22,3630.6999511719
2014-09-19,3660.0300292969
2014-09-18,3661.7299804688
2014-09-17,3643.3999023438
2014-09-16,3638.6000976562
2014-09-15,3611.5200195312
2014-09-12,3614.0600585938
2014-09-11,3635.6599121094
2014-09-10,3631.4499511719
2014-09-09,3617.8898925781
2014-09-08,3641.6599121094
2014-09-05,3652.2600097656
2014-09-04,3633.8701171875
2014-09-03,3639.3500976562
2014-09-02,3641.5200195312
2014-08-29,3643.330078125
2014-08-28,3630.9799804688
2014-08-27,3636.6398925781
2014-08-26,3635.7099609375
2014-08-25,3631.8601074219
2014-08-22,3614.5
2014-08-21,3621.2299804688
2014-08-20,3610.4899902344
2014-08-19,3601.330078125
2014-08-18,3582.6999511719
2014-08-15,3552.169921875
2014-08-14,3551.9699707031
2014-08-13,3536.419921875
2014-08-12,3511.9599609375
2014-08-11,3517.5300292969
2014-08-08,3507.2099609375
2014-08-07,3467.1398925781
2014-08-06,3485.669921875
2014-08-05,3484.5600585938
2014-08-04,3518.3100585938
2014-08-01,3493.1799316406
2014-07-31,3503.1899414062
2014-07-30,3574.4499511719
2014-07-29,3573.6499023438
2014-07-28,3589.7299804688
2014-07-25,3588.6799316406
2014-07-24,3606.1000976562
2014-07-23,3604.3000488281
2014-07-22,3597.9499511719
2014-07-21,3579.9899902344
2014-07-18,3588.2099609375
2014-07-17,3551.7299804688
2014-07-16,3593.9099121094
2014-07-15,3578.4599609375
2014-07-14,3585.3701171875
2014-07-11,3568.080078125
2014-07-10,3562.4899902344
2014-07-09,3577.2800292969
2014-07-08,3560.5300292969
2014-07-07,3584.75
2014-07-03,3598.7299804688
2014-07-02,3579.1101074219
2014-07-01,3576.5500488281
2014-06-30,3552.1799316406
2014-06-27,3553.3500976562
2014-06-26,3546.3798828125
2014-06-25,3549.9599609375
2014-06-24,3532.5700683594
2014-06-23,3555.1398925781
2014-06-20,3555.6000976562
2014-06-19,3549.4399414062
2014-06-18,3544.419921875
2014-06-17,3517.2299804688
2014-06-16,3509.5400390625
2014-06-13,3506.580078125
2014-06-12,3495.5700683594
2014-06-11,3519.5200195312
2014-06-10,3531.6201171875
2014-06-09,3532.4699707031
2014-06-06,3528.9799804688
2014-06-05,3512.2099609375
2014-06-04,3489.2099609375
2014-06-03,3482
2014-06-02,3483.1398925781
2014-05-30,3480.2900390625
2014-05-29,3473.8601074219
2014-05-28,3454.8798828125
2014-05-27,3458.1899414062
2014-05-23,3437.580078125
2014-05-22,3422.9899902344
2014-05-21,3414.4499511719
2014-05-20,3386.4799804688
2014-05-19,3408.5200195312
2014-05-16,3395.2099609375
2014-05-15,3382.5200195312
2014-05-14,3413.8400878906
2014-05-13,3429.3000488281
2014-05-12,3427.0100097656
2014-05-09,3394.0500488281
2014-05-08,3388.2900390625
2014-05-07,3392.1000976562
2014-05-06,3371.7199707031
2014-05-05,3402.2299804688
2014-05-02,3395.6101074219
2014-05-01,3400.1999511719
2014-04-30,3400.4599609375
2014-04-29,3390.1599121094
2014-04-28,3374.0400390625
2014-04-25,3362.9499511719
2014-04-24,3390.3898925781
2014-04-23,3384.5
